Reparto,Classe,Categoria,Codice,Descrizione,Valore,Mese,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Anno
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00032,THE ESTATHE PESCA 250MLX24PZ,16.1604,07,PZ,PZ,1.0,0.6517,21,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00035,REDBULL 33CLX24PZ,3.1306,07,BT,BT,1.0,1.2426,3,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00038,GRANITA A LIMONE,30.0,07,PZ,PZ,1.0,15.0,2,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00039,SUCCO PESCA AMITA 20CLX24PZ,7.28,07,BT,BT,1.0,0.4838,14,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00040,GINGER BEER KILNEY 20CLX24 VAP,3.7998,07,PZ,PZ,1.0,0.6333,6,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00041,THE ESTATHE' LIMONE 250MLX24PZ,13.1742,07,PZ,PZ,1.0,0.9274,15,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00042,SCHWEPPES TONICA 18CLX24,48.0054,07,PZ,PZ,1.0,1.0,74,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00043,SPRITE 33CLX24 VAP,12.1604,07,PZ,PZ,1.0,0.7633,16,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00044,FANTA ORANGE 33CLX24 VAP,24.7603,07,PZ,PZ,1.0,0.7503,33,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,133.4541,07,PZ,PZ,1.0,0.7733,165,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00047,"SUCCO ANANAS DERBY 1,5LTX6",4.2321,07,LT,CL,100.0,1.2089,3,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00051,"ACQUA TONICA SIFONE 1,5LT",11.0985,07,PZ,PZ,1.0,2.4841,4,2024
CANTINA,BEVERAGE - ,SOFDRINK - ,BEV.SOF.00052,SCHWEPPES SODA 20CLX24 PZ,2.0367,07,PZ,PZ,1.0,0.7245,3,2024
CANTINA,BEVERAGE - ,VINBOLL - ,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,534.2292,07,BT,CL,0.75,5.7589,93,2024
CANTINA,BEVERAGE - ,VINBOLL - ,BEV.BOL.00005,CHAMPAGNE GRANDE RESERVE ROSE 75 CL,29.7,07,BT,BT,1.0,29.7,1,2024
CANTINA,BEVERAGE - ,VINBOLL - ,BEV.BOL.00007,PROSECCO PRIMA CUVEE TREVISO 75 CL,31.2,07,BT,BT,1.0,7.8,4,2024
CANTINA,BEVERAGE - ,VINBOLL - ,BEV.BOL.00008,PROSECCO ROSE DOC 75 CL,18.9,07,BT,BT,1.0,9.45,2,2024
CANTINA,BEVERAGE - ,VINBOLL - ,BEV.BOL.00009,PROSECCO CUVEE PRESTIGE FRANCIACORTA75CL,29.5,07,BT,BT,1.0,29.5,1,2024
CANTINA,BEVERAGE - ,VINBOLL - ,BEV.BOL.00010,PROSECCO CUVEE REAL FRANCIACORTA 75 CL,50.7,07,BT,BT,1.0,16.9,3,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,75.9,07,BT,CL,0.75,3.3,23,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00011,IL COLLE TRAMONTI 75 CL,55.0,07,BT,BT,1.0,11.0,5,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00012,BIANCOLELLA ISCHIA 75 CL,61.5,07,BT,BT,1.0,12.3,5,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00013,FALANGHINA DEI CAMPI FLEGREI 75 CL,44.0,07,BT,BT,1.0,5.5,8,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00014,GROTTE GRECO DI TUFO 75 CL,17.0,07,BT,BT,1.0,8.5,2,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00015,PENDINO FIANO DI AVELLINO 75 CL,42.5,07,BT,BT,1.0,8.5,5,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00016,PINOT GRIGIO FRIULI 75 CL,29.2,07,BT,BT,1.0,7.3,4,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00017,CHARDONNAY FRIULI 75 CL,29.2,07,BT,BT,1.0,7.3,4,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00018,VETTE SAUVIGNON BLANC 75 CL,34.0,07,BT,BT,1.0,8.5,4,2024
CANTINA,BEVERAGE - ,VINOBIAN - ,BEV.VIN.00019,PUNTA CROCE DOC 75 CL,18.0,07,BT,BT,1.0,18.0,1,2024
CANTINA,BEVERAGE - ,VINOROSE - ,BEV.VIN.00003,VINO ROSATO SAMMARCO 75 CL,76.5,07,BT,CL,0.75,4.5,17,2024
CANTINA,BEVERAGE - ,VINOROSE - ,BEV.VIN.00028,SALICERCHI DOC 75 CL,36.0,07,BT,BT,1.0,18.0,2,2024
CANTINA,BEVERAGE - ,VINOROSE - ,BEV.VIN.00029,ROSIE AGLIANICO IRPINIA 75 CL,7.9,07,BT,BT,1.0,7.9,1,2024
CANTINA,BEVERAGE - ,VINOROSE - ,BEV.VIN.00030,CAPITIROSE TRAMONTI 75 CL,55.0,07,BT,BT,1.0,11.0,5,2024
CANTINA,BEVERAGE - ,VINOROSS - ,BEV.VIN.00004,VINO ROSSO SAMMARCO 75 CL,23.1,07,BT,CL,0.75,3.3,7,2024
CANTINA,BEVERAGE - ,VINOROSS - ,BEV.VIN.00020,VADANTICO AGLIANICO 75 CL,39.5,07,BT,BT,1.0,7.9,5,2024
