Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo_Periodo,Secondo_Periodo,Valore,Mese,Anno,Row_Type,Reparto_Dir,Reparto_Filled,Classe_Filled,Categoria_Filled
,,,VAR.CAN.00028,FALDINE PERFORATE TRASPARENTI 22X30 CM,CF,CF,1.0,1.3943,1,1.3943,1.3943,1.3943,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00045,BUSTE BIANCHE AUTOADESIVE 1CFX25PZ,CF,PZ,25.0,1.63,1,1.63,1.63,1.63,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,500,8.05,8.05,8.05,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,CANPERS - ,,,,,,,,20.0625,20.0625,20.0625,08,2024,Categoria,RECEP,RECEP,VARIE - ,CANPERS - 
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,23,10.0625,10.0625,10.0625,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANPERS - 
,,,VAR.CPE.00012,BIGLIETTINI DA VISITA DIPENDENTI,PZ,PZ,1.0,0.1,100,10.0,10.0,10.0,08,2024,Articolo,RECEP,RECEP,VARIE - ,CANPERS - 
,,CARTBUSA - ,,,,,,,,5.98,5.98,5.98,08,2024,Categoria,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,2,5.98,5.98,5.98,08,2024,Articolo,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,MONOUSO - ,,,,,,,,2.376,2.376,2.376,08,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,3,2.376,2.376,2.376,08,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,157.7359,157.7359,157.7359,08,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
RECEP,,,,,,,,,,62.73,62.73,62.73,10,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,28.7859,28.7859,28.7859,10,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,28.7859,28.7859,28.7859,10,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,36,5.3859,5.3859,5.3859,10,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,156,23.4,23.4,23.4,10,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,VARIE - ,,,,,,,,,33.9441,33.9441,33.9441,10,2024,Classe,RECEP,RECEP,VARIE - ,
,,CANCELLE - ,,,,,,,,15.4972,15.4972,15.4972,10,2024,Categoria,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,1,0.385,0.385,0.385,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,2,0.7778,0.7778,0.7778,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631,1.0631,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00018,SCOTCH 50MMX66M,PZ,PZ,1.0,1.4013,1,1.4013,1.4013,1.4013,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,6,8.4,8.4,8.4,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,CF,CF,1.0,1.92,1,1.92,1.92,1.92,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00043,FORBICI DA UFFICIO WESTCOTT,PZ,PZ,1.0,1.55,1,1.55,1.55,1.55,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,CANPERS - ,,,,,,,,5.25,5.25,5.25,10,2024,Categoria,RECEP,RECEP,VARIE - ,CANPERS - 
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,12,5.25,5.25,5.25,10,2024,Articolo,RECEP,RECEP,VARIE - ,CANPERS - 
,,CARTBUSA - ,,,,,,,,12.2062,12.2062,12.2062,10,2024,Categoria,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,4,12.2062,12.2062,12.2062,10,2024,Articolo,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,MONOUSO - ,,,,,,,,0.9907,0.9907,0.9907,10,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,2,0.9907,0.9907,0.9907,10,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,62.73,62.73,62.73,10,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
RECEP,,,,,,,,,,182.9968,182.9968,182.9968,09,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,66.5424,66.5424,66.5424,09,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,66.5424,66.5424,66.5424,09,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,36,5.3424,5.3424,5.3424,09,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,408,61.2,61.2,61.2,09,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,VARIE - ,,,,,,,,,116.4544,116.4544,116.4544,09,2024,Classe,RECEP,RECEP,VARIE - ,
,,CANCELLE - ,,,,,,,,58.5834,58.5834,58.5834,09,2024,Categoria,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631,1.0631,09,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,16,22.4,22.4,22.4,09,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,51,17.1003,17.1003,17.1003,09,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,CF,CF,1.0,1.92,1,1.92,1.92,1.92,09,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,1000,16.1,16.1,16.1,09,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,CANPERS - ,,,,,,,,16.625,16.625,16.625,09,2024,Categoria,RECEP,RECEP,VARIE - ,CANPERS - 
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,38,16.625,16.625,16.625,09,2024,Articolo,RECEP,RECEP,VARIE - ,CANPERS - 
,,CARTBUSA - ,,,,,,,,38.87,38.87,38.87,09,2024,Categoria,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,13,38.87,38.87,38.87,09,2024,Articolo,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,MONOUSO - ,,,,,,,,2.376,2.376,2.376,09,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,3,2.376,2.376,2.376,09,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,182.9968,182.9968,182.9968,09,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
CANTINA,,,,,,,,,,4206.6999,4206.6999,4206.6999,07,2024,Reparto,CANTINA,CANTINA,,
,BEVERAGE - ,,,,,,,,,3243.7583,3243.7583,3243.7583,07,2024,Classe,CANTINA,CANTINA,BEVERAGE - ,
,,ACQUA - ,,,,,,,,214.5993,214.5993,214.5993,07,2024,Categoria,CANTINA,CANTINA,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,162,73.2425,73.2425,73.2425,07,2024,Articolo,CANTINA,CANTINA,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,BT,BT,1.0,0.4781,303,141.3568,141.3568,141.3568,07,2024,Articolo,CANTINA,CANTINA,BEVERAGE - ,ACQUA - 
,,AMARI - ,,,,,,,,11.448,11.448,11.448,07,2024,Categoria,CANTINA,CANTINA,BEVERAGE - ,AMARI - 
,,,BEV.AMA.00006,AMARO AVERNA 1 LT,LT,CL,100.0,16.24,0.2,3.248,3.248,3.248,07,2024,Articolo,CANTINA,CANTINA,BEVERAGE - ,AMARI - 
,,,BEV.AMA.00007,AMARO DISARONNO 1 LT.,LT,CL,100.0,16.45,0.5,8.2,8.2,8.2,07,2024,Articolo,CANTINA,CANTINA,BEVERAGE - ,AMARI - 
,,APERITIV - ,,,,,,,,232.4335,232.4335,232.4335,07,2024,Categoria,CANTINA,CANTINA,BEVERAGE - ,APERITIV - 
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,2,0.944,0.944,0.944,07,2024,Articolo,CANTINA,CANTINA,BEVERAGE - ,APERITIV - 
